SID,Email Address,Section,First Name,Last Name,Homework 1,Homework 1 - Max Points,Homework 2,Homework 2 - Max Points,Homework 3,Homework 3 - Max Points,Homework 4,Homework 4 - Max Points,Homework 5,Homework 5 - Max Points,Homework 6,Homework 6 - Max Points,Homework 7,Homework 7 - Max Points,Homework 8,Homework 8 - Max Points,Homework 9,Homework 9 - Max Points,Homework 10,Homework 10 - Max Points,Exam 1,Exam 1 - Max Points,Exam 2,Exam 2 - Max Points,Exam 3,Exam 3 - Max Points,Quiz 5,Quiz 4,Quiz 2,Quiz 3,Quiz 1,Exam 1 Score,Exam 2 Score,Exam 3 Score,Total Homework,Average Homework,Homework Score,Total Quizzes,Average Quizzes,Quiz Score,Final Score,Ceiling Score,Final Grade
dma58910,daisy.anderson@univ.edu,2,Daisy,Anderson,64,80,52,80,57,80,84,100,54,70,63,90,34,50,45,70,38,60,45,60,92,100,66,100,94,100,7,6,6,10,9,0.92,0.66,0.94,0.724324324,0.718011905,0.724324324,0.724324324,0.563664375,0.724324324,0.760027027,77,C
lba53221,lauren.anderson@univ.edu,2,Lauren,Anderson,55,80,75,80,57,80,75,100,47,70,83,90,48,50,44,70,44,60,56,60,94,100,67,100,86,100,6,11,6,11,8,0.94,0.67,0.86,0.789189189,0.793638889,0.793638889,0.789189189,0.612009167,0.789189189,0.797212312,80,B
vkb66346,victoria.boyd@univ.edu,2,Victoria,Boyd,58,80,61,80,75,80,99,100,52,70,86,90,34,50,51,70,40,60,50,60,68,100,93,100,69,100,8,6,8,6,9,0.68,0.93,0.69,0.818918919,0.802198413,0.818918919,0.818918919,0.559938885,0.818918919,0.803743243,81,B
lmb95641,lauren.brock@univ.edu,2,Lauren,Brock,74,80,58,80,62,80,82,100,54,70,87,90,30,50,51,70,60,60,54,60,75,100,72,100,96,100,7,12,14,11,7,0.75,0.72,0.96,0.827027027,0.821166667,0.827027027,0.827027027,0.731446397,0.827027027,0.832418919,84,B
ksb85997,kelsey.brown@univ.edu,2,Kelsey,Brown,78,80,68,80,52,80,80,100,51,70,70,90,49,50,46,70,59,60,56,60,80,100,69,100,83,100,4,14,15,9,10,0.8,0.69,0.83,0.822972973,0.833515873,0.833515873,0.822972973,0.754367201,0.822972973,0.813798241,82,B
cxc08121,charles.campbell@univ.edu,2,Charles,Campbell,60,80,61,80,63,80,81,100,50,70,75,90,44,50,57,70,47,60,50,60,66,100,96,100,100,100,8,14,15,14,5,0.66,0.96,1,0.794594595,0.796857143,0.796857143,0.794594595,0.788948307,0.794594595,0.836121236,84,B
lxc64780,lorraine.carter@univ.edu,2,Lorraine,Carter,50,80,66,80,62,80,80,100,42,70,66,90,38,50,56,70,45,60,43,60,68,100,69,100,99,100,10,12,13,14,5,0.68,0.69,0.99,0.740540541,0.7385,0.740540541,0.740540541,0.767043545,0.767043545,0.77782928,78,C
amc28428,adam.cooper@univ.edu,2,Adam,Cooper,80,80,78,80,78,80,87,100,65,70,55,90,44,50,44,70,45,60,53,60,65,100,63,100,90,100,12,7,10,16,4,0.65,0.63,0.9,0.85,0.85015873,0.85015873,0.85,0.6942959,0.85,0.825563492,83,B
axc64717,alec.curry@univ.edu,2,Alec,Curry,69,80,76,80,66,80,87,100,59,70,83,90,43,50,65,70,58,60,42,60,65,100,78,100,83,100,11,12,9,9,9,0.65,0.78,0.83,0.875675676,0.872781746,0.875675676,0.875675676,0.744280621,0.875675676,0.847972973,85,B
wad63934,william.daniel@univ.edu,2,William,Daniel,48,80,60,80,72,80,76,100,65,70,60,90,38,50,62,70,51,60,36,60,84,100,91,100,95,100,5,9,10,10,9,0.84,0.91,0.95,0.767567568,0.770095238,0.770095238,0.767567568,0.626521518,0.767567568,0.813808366,82,B
axd11293,amber.daniels@univ.edu,2,Amber,Daniels,54,80,57,80,77,80,95,100,47,70,87,90,44,50,58,70,46,60,59,60,68,100,95,100,88,100,6,5,15,16,7,0.68,0.95,0.88,0.843243243,0.839666667,0.843243243,0.843243243,0.686936593,0.843243243,0.85127027,86,B
djd31335,desiree.delgado@univ.edu,2,Desiree,Delgado,69,80,74,80,74,80,64,100,60,70,55,90,31,50,55,70,55,60,51,60,88,100,69,100,78,100,4,8,7,9,4,0.88,0.69,0.78,0.794594595,0.799313492,0.799313492,0.794594595,0.45289534,0.794594595,0.788103775,79,C
rxd29805,robert.douglas@univ.edu,2,Robert,Douglas,57,80,53,80,73,80,78,100,42,70,83,90,41,50,69,70,44,60,39,60,86,100,67,100,87,100,8,10,9,13,8,0.86,0.67,0.87,0.782432432,0.777876984,0.782432432,0.782432432,0.694586198,0.782432432,0.788202703,79,C
axd31221,angela.dunlap@univ.edu,2,Angela,Dunlap,49,80,73,80,71,80,75,100,62,70,64,90,41,50,66,70,42,60,56,60,82,100,64,100,92,100,6,11,11,11,6,0.82,0.64,0.92,0.809459459,0.815551587,0.815551587,0.809459459,0.642312198,0.809459459,0.812058473,82,B
tce09928,timothy.edwards@univ.edu,2,Timothy,Edwards,49,80,72,80,60,80,87,100,49,70,84,90,30,50,49,70,39,60,60,60,68,100,73,100,71,100,7,5,14,6,6,0.68,0.73,0.71,0.782432432,0.771583333,0.782432432,0.782432432,0.554441049,0.782432432,0.761202703,77,C
bcf26283,brandon.flores@univ.edu,2,Brandon,Flores,62,80,52,80,77,80,87,100,45,70,71,90,40,50,45,70,45,60,54,60,96,100,93,100,65,100,7,13,15,11,7,0.96,0.93,0.65,0.781081081,0.778210317,0.781081081,0.781081081,0.759065444,0.781081081,0.785256757,79,C
rcf61653,russell.flores@univ.edu,2,Russell,Flores,48,80,68,80,71,80,77,100,68,70,90,90,30,50,64,70,47,60,56,60,64,100,78,100,98,100,12,9,8,13,7,0.64,0.78,0.98,0.836486486,0.830988095,0.836486486,0.836486486,0.715451999,0.836486486,0.842540541,85,B
dsg54218,desiree.garcia@univ.edu,2,Desiree,Garcia,68,80,78,80,77,80,95,100,60,70,73,90,35,50,47,70,45,60,55,60,81,100,99,100,70,100,6,10,10,6,8,0.81,0.99,0.7,0.855405405,0.844384921,0.855405405,0.855405405,0.592233257,0.855405405,0.843283784,85,B
